date;open_price_xrp;close_price_xrp;volume_xrp;market_cap_xrp
26.4.2019;0.289838;0.298502;1226933036;12538573521
25.4.2019;0.302224;0.289384;1191205196;12155572105
24.4.2019;0.321114;0.302318;1517791002;12698877293
23.4.2019;0.323844;0.321222;1077333990;13492933875
22.4.2019;0.322277;0.323934;1131094080;13606823301
21.4.2019;0.328678;0.322449;1005803846;13533407430
20.4.2019;0.331871;0.328476;931570799;13786384592
19.4.2019;0.337062;0.331902;1025167554;13930181415
18.4.2019;0.335476;0.337065;1092731769;14146855828
17.4.2019;0.327157;0.335453;1137811633;14079207980
16.4.2019;0.320998;0.327218;799796781;13733570917
15.4.2019;0.328841;0.320913;934107164;13468978197
14.4.2019;0.326160;0.328809;746765729;13741639599
13.4.2019;0.326386;0.326031;976688780;13625508289
12.4.2019;0.330664;0.326346;1076074031;13638700669
11.4.2019;0.354828;0.330984;1641951210;13832528015
10.4.2019;0.349425;0.354792;1213341089;14827516669
9.4.2019;0.358307;0.349462;1076688924;14604743889
8.4.2019;0.361143;0.358234;1513421926;14971342083
7.4.2019;0.354406;0.359856;1398086395;15021731305
6.4.2019;0.361837;0.354405;1440643534;14794185026
5.4.2019;0.332685;0.361803;2359353481;15103004666
4.4.2019;0.342286;0.332513;1599115419;13880340560
3.4.2019;0.351309;0.342234;2544122431;14286134859
2.4.2019;0.312805;0.351499;2400198268;14672900148
1.4.2019;0.309195;0.312747;836123225;13043585711
31.3.2019;0.310730;0.309229;652757652;12896872922
30.3.2019;0.307655;0.310632;929122633;12955391175
29.3.2019;0.309269;0.307929;854583316;12842645325
28.3.2019;0.312383;0.309246;677929379;12897607540
27.3.2019;0.305421;0.312465;781951318;13031827698
26.3.2019;0.303808;0.305060;761000017;12722986423
